Date,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Volume,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,10Y_Yield,3M_Yield,RSI,VIX,CNN,Put_Call,DXY,BTC_Chg,HYG_Price,Risk_Ratio,IWM_Price,SOXX_Price,NAAIM,SKEW,AAII_Diff,Above_200MA
2026-01-29,6977.74,6992.84,6870.80,6969.01,4116060000,26030.08,26046.34,25418.54,25884.29,1583429000,4.23,3.58,57.4,16.88,62,0.81,96.42,-5.73,81.03,1.48,263.37,361.13,92.58,143.74,13.6,63.02
2026-01-30,6947.27,6964.09,6893.48,6939.03,4261589000,25740.19,25823.29,25456.18,25552.39,1480582000,4.24,3.57,53.2,17.44,58,0.84,97.15,-0.76,81.12,1.45,259.65,346.30,92.58,143.65,13.6,63.02
2026-02-02,6947.27,6991.92,6914.34,6976.44,3598308000,25740.19,25833.12,25478.50,25738.61,1316269000,4.28,3.58,57.2,16.34,61,0.82,97.51,2.56,80.77,1.44,262.18,352.69,92.58,146.56,13.6,63.22
2026-02-03,6985.45,6993.08,6862.05,6917.81,4509153000,25811.05,25840.04,25112.46,25338.62,1760640000,4.27,3.59,49.5,18.00,41,0.93,97.42,-3.67,80.72,1.41,262.78,345.64,92.58,143.85,13.6,63.02
2026-02-04,6924.50,6936.09,6838.80,6882.72,5124778000,25240.38,25275.26,24681.27,24891.24,1909479000,4.28,3.60,45.5,18.64,41,0.84,97.65,-3.91,80.62,1.38,260.52,330.38,92.58,143.16,13.6,67.19
2026-02-05,6837.39,6857.85,6780.13,6798.40,4330553000,24614.86,24854.56,24455.40,24548.69,1800713000,4.21,3.58,37.9,21.77,33,1.00,97.94,-13.02,80.53,1.35,255.83,330.83,84.93,137.16,10.7,64.81
2026-02-06,6816.74,6944.89,6816.74,6932.30,3835601000,24655.25,25131.34,24622.33,25075.77,1712979000,4.21,3.59,51.9,17.76,45,0.92,97.68,11.51,80.81,1.34,265.02,348.51,84.93,140.31,10.7,66.99
2026-02-09,6917.26,6980.10,6905.87,6964.82,3363942000,24953.68,25337.54,24876.28,25268.14,1388767000,4.20,3.59,54.4,17.36,48,0.86,96.96,-0.21,80.92,1.34,266.88,352.77,84.93,145.23,10.7,66.53
2026-02-10,6974.49,6986.83,6937.53,6941.81,3494760000,25314.23,25363.12,25113.43,25127.64,1336648000,4.15,3.59,52.1,17.79,46,0.88,96.79,-1.53,80.84,1.36,266.16,351.43,84.93,145.71,10.7,67.79
2026-02-11,6976.48,6993.48,6911.97,6941.47,3743710000,25335.91,25382.84,24980.29,25201.26,1433432000,4.17,3.60,52.5,17.65,49,0.97,96.90,-1.81,80.83,1.33,264.95,360.20,84.93,143.78,10.7,66.99
2026-02-12,6957.54,6973.22,6824.04,6832.76,4529538000,25261.33,25310.56,24643.73,24687.61,1684217000,4.10,3.60,42.8,20.82,37,1.01,96.91,-1.24,80.79,1.30,259.54,351.50,80.61,142.50,0.4,64.81
2026-02-13,6834.27,6881.96,6794.55,6836.17,3419160000,24662.95,24921.47,24514.96,24732.73,1285151000,4.06,3.59,43.2,20.60,36,0.94,96.88,4.24,80.85,1.30,262.96,354.66,80.61,139.35,0.4,64.81

2026-02-17,6819.86,6866.99,6775.50,6843.22,3297532000,24567.54,24818.30,24387.47,24701.60,1264881000,4.05,3.59,44.1,20.29,37,,97.16,-2.44,80.81,1.32,263.04,354.10,80.61,140.28,0.4,63.61
2026-02-18,6855.48,6909.12,6849.66,6881.31,3039483000,24744.88,25057.21,24696.83,24898.87,1146340000,4.08,3.60,47.9,19.62,40,0.98,97.69,-1.41,80.91,1.33,263.99,357.92,80.61,139.17,0.4,66.00
2026-02-19,6861.34,6879.12,6833.06,6861.89,2928310000,24771.65,24890.12,24690.87,24797.34,1031364000,4.08,3.60,45.7,20.23,39,1.01,97.85,1.20,80.94,1.33,264.60,355.84,82.87,141.19,-2.4,64.01
2026-02-20,6843.26,6915.86,6836.33,6909.51,3339510000,24637.32,25077.56,24633.60,25012.62,1323780000,4.09,3.60,50.9,19.09,43,0.87,97.79,1.28,81.00,1.34,264.61,359.43,82.87,145.52,-2.4,65.60
